"","Control","CD","UC","AxSpA","PsA","RAneg","RApos","CTD","SjS","SLE","SSc","GCA","PMR","Pso","p","test"
"n","  291"," 8223"," 3578"," 1287"," 2066"," 2567"," 5317","  275","  393"," 3365","  232","  400","  173","  845","",""
"Trp (mean (SD))","56.58 (10.84)","50.39 (13.05)","53.35 (12.94)","56.30 (11.84)","55.96 (12.38)","53.49 (12.54)","52.87 (12.23)","53.71 (10.44)","48.99 (9.61)","50.88 (11.48)","47.41 (10.64)","52.22 (12.38)","51.68 (11.93)","58.00 (12.21)","<0.001",""
