"DAI","Estimate","Std. Error","df","t value","Pr(>|t|)"
"PASI",0.854981318631527,13.9551373632462,20,0.0612664208439324,0.951755150155938
"DAS28_RAneg",-0.58636616137462,0.446046458114713,79.8909908194291,-1.31458539958593,0.192410726773297
"DAS28_RApos",-0.188569823255369,0.300600552497328,168.69443089869,-0.627310301623764,0.531303995499014
"BASDAI",-2.62185496220642,1.56689470818714,103.514101307219,-1.67328088384435,0.0972915338592658
"CDAI",-221.537693601845,60.423840243978,158.257288571258,-3.66639546091948,0.000335406278614933
"cMayo",-7.12368648109819,2.32686494148328,93.2479049822082,-3.06149547148067,0.00287729348762272
